SITE_ACCOUNT_NUMBER,ACCOUNT_STATUS,FIRST_COMMUNICATION_DATE,UPGRADE_DATE,SERVICE_ PLAN,MODEL,SALES_CHANNEL,DIRECT_INDIRECT_CHANNEL,SALES_SOURCE,COMPANY_SOURCE_NAME,FIRST_NAME,LAST_NAME,ADDRESS,CITY,STATE,ZIPCODE,EMAIL_ADDRESS,FEEDBACK,SATELLITE,SITE_TYPE_DESC,WARRANTY_NAME,MOST_RECENT_SALES_CHANNEL,GENDER,DATE_OF_BIRTH,AGE,INCOME,MARITAL_STATUS,PRESENCE_OF_CHILDREN,COMPUTER_OWNER
AMR-28494871,Active,3/7/2002,4/21/2005,Power150,HN7000S,,Direct,TAG,HNS Customers,DONALD,Brown,30979 MORGAN AUBURN TRL 0 0,JEWETT, TX,75846,DONALD.Brown@geeksquad.com,GOOD,SPACEWAY3,Broadband Remote,0,Dealer-Generated Sale,1,8-5-1963,49,6,1,1,N
AMR-28494889,Active,4/3/2002,9/3/2005,Proplus,,Web orders,Indirect,TAG,HNS Customers,Richard,Huddleston,8719 RAVINIA ST 0 0 0,VIENNA, VA,22182,Richard.Huddleston@compuserve.com,GOOD,HZN2-VER-4K,Spaceway,0,National Sales,2,26-3-1972,40,6,1,1,N
AMR-28501371,Active,4/10/2002,8/29/2005,Pro,HN7000S,Web orders,Direct,Perfect 10,HNS Customers,David,Killillay,19214 SILVER ROAD 0 0 0,HARRISON, ID,83833,David.Killillay@hotmail.com,GOOD,SM5-VER-15K,Broadband Remote,0,HN7000 Upgrade,2,22-7-1981,31,0,0,0,N
AMR-28509258,Active,1/17/2002,8/9/2004,Basic,,,Indirect,UNKNOWN,HNS Customers,RICHARDa,Cusatis,3421 EAST MILL # 0 0,SALISBURY, CT,6068,RICHARD.Cusatis@sipnsearch.com,GOOD,HZN2-VER-4K,Broadband Remote,0,Dealer-Generated Sale,2,14-9-1978,34,4,1,1,
AMR-28520986,Active,7/29/2003,3/30/2006,Basic_Ltd,HN9000,Sales Agents,Indirect,ACS Pre-Install,HNS Customers,Williama,Daniels,2805 CALMGARDEN RD,INDIANAPOLIS, IN,46239,starzend@rglobal.net,GOOD,SPACEWAY3,Spaceway,,HN9000 Upgrade,,19-3-1944,68,9,1,0,Y
AMR-28521535,Active,1/21/2002,12/28/2003,Power150,DW4020,Vars,Indirect,TAG,HNS Customers,William,Raysr.,PO 28TH RUN 0 0 0,LAYTONVILLE, CA,95454,William.Raysr.@yahoo.com,GOOD,AM6-HOR-21K,Broadband Remote,0,DW7000 Upgrade,2,1-10-1975,37,0,1,1,N
AMR-28522234,Active,2/14/2002,3/3/2006,,HN7000S,Web orders,Indirect,PEGASUS BROADBAND COMMUNICATIO,HNS Customers,Ed,Whitefield,626 MOCKINGBIRD ROUTE RD 0 0,HUDDLESTON, VA,24104,Ed.Whitefield@sipnsearch.com,GOOD,AM9-VER-2K ,Broadband Remote,0,Direct,,12-12-1988,24,5,0,,N
AMR-28523395,Active,2/26/2002,2/22/2004,Basic_Ltd,DW4020,Retail/others,Indirect,AmericanSat,HNS Customers,KEN,SLETTEN,200 FAMILY FARM RD,ELK POINT, SD,57025,kensletten@yahoo.com,GOOD,SM5-VER-15K,Broadband Remote,,National Sales,2,4-8-1974,38,9,1,1,N
AMR-28526901,Active,4/12/2002,6/25/2005,Pro,HN7000S,,Indirect,AmericanSat,HNS Customers,BERNICEa,HEADLEY,3642 ZACOMA RD,NEWMAN, CA,95360,gitch1@hughes.net,,SM5-HOR-6K,Broadband Remote,,DPC Classic upgrade,,9-8-1954,58,6,1,0,N
AMR-28528271,Active,8/4/2001,7/28/2004,Basic,UNK,,Indirect,TAG,HNS Customers,Davea,Wells,16404 S. VALLEY 23 0 0,NEWBERG, OR,97132,Dave.Wells@compuserve.com,GOOD,HZN2-VER-4K,Broadband Remote,0,HN9000 Upgrade,2,25-8-1981,31,0,1,1,N
AMR-28533757,Active,1/29/2002,5/1/2005,Basic_Ltd,DW4020,Retail/others,Indirect,,HNS Customers,Patrick,Pollauf,10712 PROV NEAP SWAN RD LOT 10,PAWNEE, IL,62558,pjpollauf@hughes.net,GOOD,SM5-VER-5K,Broadband Remote,,Direct,2,8-11-1970,42,4,1,1,N
AMR-28536563,Active,8/23/2001,8/14/2005,Basic_Ltd,HN7000S,,Indirect,TAG,HNS Customers,LARRY,Mattox,14540 BURROWS RD RD 0 0,PARIS, IL,61944,LARRY.Mattox@sipnsearch.com,GOOD,SM5-VER-5K,Broadband Remote,0,Dealer-Generated Sale,1,16-4-1965,47,6,2,0,N
AMR-28541628,Active,7/27/2001,1/21/2005,,HN7000S,,Indirect,RS&I,HNS Customers,Davida,Laub,1251 NOEL OAK E 0 0,PLACERVILLE, CO,81430,David.Laub@gmail.com,BAD,HZN-HOR-19K,Spaceway,0,DW7000 Upgrade,1,7-2-1987,25,3,1,1,N
AMR-28542029,Active,12/21/2001,7/1/2004,Home,DW4000,,Indirect,Hughes Web Order,HNS Customers,FREDERICKa,Tatum,10712 E DR 16 0 0,EUREKA, CA,95503,FREDERICK.Tatum@geeksquad.com,,SM5-VER-1K,Broadband Remote,0,Direct,1,17-7-1957,55,4,0,0,
AMR-28543076,Active,11/27/2001,8/21/2005,Basic,HN9000,Sales Agents,Indirect,AmericanSat,HNS Customers,Neshera,Venckus,HCR63 HOLLONVILLE RD RD 0 0,ELK POINT, SD,57025,Nesher.Venckus@aol.com,BAD,SM5-VER-7K,Broadband Remote,0,HN9000 Upgrade,1,14-1-1943,69,3,1,1,
AMR-28544724,Active,4/18/2002,7/19/2005,Basic_Ltd,HN7000S,Call Center,Indirect,LiveBridge Communications LLC,HNS Customers,Harrya,Pesonen,11174 BOX 2421 0 7193 0,UNIONTOWN, AR,72955,Harry.Pesonen@aol.com,BAD,G16-VER-2K,Broadband Remote,0,Dealer-Generated Sale,,2-9-1961,51,9,1,1,N
AMR-28545090,Active,12/5/2001,10/15/2004,Pro,HN7000S,Call Center,Indirect,TAG,HNS Customers,Douglasa,Lynch,550 ROUTE LN 0 0 0,KEYSTONE HGTS, FL,32656,Douglas.Lynch@aol.com,GOOD,HZN-VER-6K,Broadband Remote,0,Dealer-Generated Sale,1,14-5-1957,55,3,0,0,
AMR-28545268,Active,4/19/2002,1/10/2006,Pro,HN7000S,,Indirect,UNKNOWN,HNS Customers,Thomasa,Shover,21828 S RD RIVER 0 0,MIDLAND, VA,22728,Thomas.Shover@wexzone.com,GOOD,SM5-VER-5K,Spaceway,0,DPC Classic upgrade,2,13-11-1969,43,A,1,0,
AMR-28545507,Active,2/21/2002,10/25/2003,,UNK,,Direct,TAG,HNS Customers,Jim,Cusatis,8719 COUNTY TRL RD 0 0,BURNET, TX,78611,Jim.Cusatis@wexzone.com,GOOD,SM5-VER-15K,Broadband Remote,0,DW6000 Upgrade,,2-10-1964,48,5,0,,N
AMR-28552518,Active,1/13/2002,8/3/2003,Elite,HN7000S,Vars,Indirect,TAG,HNS Customers,Kellya,FOURNIER,1898 SHELLEY 4606 0 0 0,POCATELLO, ID,83201,Kelly.FOURNIER@wexzone.com,GOOD,G3C-VER-21K,Broadband Remote,0,HN7000 Upgrade,,26-3-1957,55,6,0,0,Y
AMR-28555021,Active,2/18/2002,5/17/2004,Basic,DW4020,Retail/others,Indirect,Best Buy,HNS Customers,Mark,Brady,12020 VAN BRADY RD,STREATOR, IL,61364,mbrady@hst.nasa.gov,GOOD,HZN2-VER-5K,Broadband Remote,,Retail,,9-1-1972,40,A,0,0,N
AMR-28557004,Active,3/22/2002,3/13/2004,Elite,HN9000,Web orders,Direct,LiveBridge Communications LLC,HNS Customers,Carlaa,Mohr,2100 HWY 10 WEST,PELLSTON, MI,49769,feedthecows@yahoo.com,BAD,AM6-HOR-21K,Spaceway,,HN9000 Upgrade,2,.,.,,0,,
AMR-28564866,Active,2/8/2002,3/13/2004,Basic_Ltd,DW4000,Call Center,Indirect,TAG,HNS Customers,JUDITHa,Hayes,13999 MILL FREDERICKTOWN RD 0 0,SAN ANTONIO, TX,78278,JUDITH.Hayes@sipnsearch.com,GOOD,SM5-VER-15K,Broadband Remote,0,HN7000 Upgrade,2,26-7-1964,48,7,0,,
AMR-28570855,Active,3/11/2002,1/21/2004,Basic,HN7000S,,Indirect,Verisign Web Ordering,HNS Customers,Corrya,Townsend,14155 DOVE AVENUE 0 0 0,AUBURN, WA,98092,Corry.Townsend@yahoo.com,GOOD,SPACEWAY3,Broadband Remote,0,Dealer-Generated Sale,1,13-6-1975,37,0,1,1,N
AMR-28571745,Active,2/11/2002,7/22/2005,Pro,HN7000S,Call Center,Indirect,InfoDish,HNS Customers,Erica,Motta,13735 HIGHWAY 1418 0 0 0,HUTSONVILLE, IL,62433,Eric.Motta@hotmail.com,BAD,,Spaceway,0,DW7000 Upgrade,1,11-5-1974,38,8,0,0,N
AMR-28573002,Active,2/22/2002,4/30/2004,Proplus,HN7000S,Call Center,Direct,,HNS Customers,Robert,ENTERPRISES,960 SYCAMORE 827 RD 0 0,WAPAKONETA, OH,45895,Robert.ENTERPRISES@yahoo.com,GOOD,AM6-HOR-21K,Broadband Remote,0,Direct,1,11-7-1987,25,0,1,0,N
AMR-28579473,Active,7/9/2001,9/12/2003,Elite,,Call Center,Indirect,Hughes Web Order,HNS Customers,Michaela,Brunner,11174 CARROLL VALLEY 0 E 0,GREENVIEW, IL,62642,Michael.Brunner@wexzone.com,BAD,SPACEWAY3,Broadband Remote,0,Dealer-Generated Sale,1,21-11-1954,58,B,1,1,N
AMR-28581277,Active,4/12/2002,4/20/2006,Basic_Ltd,HN9000,Sales Agents,Indirect,NCC,HNS Customers,Mauricea,Stowell,15834 W MOUNTAIN 0 0 0,STARK CITY, MO,64866,Maurice.Stowell@aol.com,,SM5-HOR-6K,Broadband Remote,0,Dealer-Generated Sale,2,20-10-1981,31,6,1,1,N
AMR-28581736,Active,4/24/2002,4/28/2004,Elite,HN7000S,Web orders,Indirect,Perfect 10,HNS Customers,Patricia,Despain,PO BOX 4,DURHAM, CA,95938,bdespain@hughes.net,GOOD,SM5-VER-5K,Broadband Remote,,UNKNOWN,1,.,.,2,1,1,N
AMR-28582802,Active,6/12/2003,7/12/2005,Proplus,HN9000,Web orders,Indirect,AmericanSat,HNS Customers,Lyndaa,Weaver,2636 SILVER BOX AVE 0 0,LITTLE ROCK, AR,72223,Lynda.Weaver@compuserve.com,,,Broadband Remote,0,Retail       ,2,5-6-1961,51,6,0,0,N
AMR-28583754,Active,7/24/2001,8/8/2003,,HN9000,Sales Agents,Indirect,AmericanSat,HNS Customers,Jack,Tipton,5704 OTIS GRANDE 0 0 0,LEESBURG, GA,31763,Jack.Tipton@geeksquad.com,GOOD,0,Broadband Remote,0,HN7000 Upgrade,2,7-7-1946,66,6,2,1,
AMR-28588507,Active,7/31/2003,5/4/2006,Home,HN7000S,Web orders,Indirect,RS&I,HNS Customers,LAURETTAa,Hays,494 S EDGEWOOD 0 0 0,ROGERSVILLE, TN,37857,LAURETTA.Hays@sipnsearch.com,GOOD,AM6-HOR-21K,Spaceway,0,DPC Classic upgrade,,4-2-1978,34,6,0,,N
AMR-28594883,Active,2/11/2002,4/28/2005,Home,HN7000S,,Indirect,TAG,HNS Customers,Larry,Foreman,870 GREEN HOLLOW 0 0 0,HAZLEHURST, MS,39083,Larry.Foreman@yahoo.com,GOOD,SPACEWAY3,Broadband Remote,0,National Sales,1,12-5-1985,27,7,0,,
AMR-28600541,Active,2/5/2002,2/1/2005,Elite,HN7000S,,Indirect,AmericanSat,HNS Customers,Toma,Taylor,15191 SWARTZ RD 0 0 0,CHEWELAH, WA,99109,Tom.Taylor@sipnsearch.com,BAD,SPACEWAY3,Spaceway,0,Dealer-Generated Sale,1,3-7-1937,75,4,0,0,
AMR-28603030,Active,4/3/2002,4/9/2006,Power150,HN7000S,Sales Agents,Direct,AmericanSat,HNS Customers,JOHNa,HAUCK,16100 1 DR 0 0 101,GOLDONNA, LA,71031,JOHN.HAUCK@sipnsearch.com,BAD,0,Spaceway,0,Direct,2,13-3-1980,32,4,1,0,Y
AMR-28610903,Active,4/18/2002,1/3/2004,Pro,,Retail/others,Indirect,RS&I,HNS Customers,JOHNa,HAMBLIN,626 N LN LN 0 0,MOUNT AIRY, MD,21771,JOHN.HAMBLIN@yahoo.com,,0,Spaceway,0,Dealer-Generated Sale,1,22-1-1949,63,8,0,0,N
AMR-28613969,Active,2/19/2003,7/31/2005,Basic,UNK,,Indirect,MiniDish,HNS Customers,Mark,Parsons,1876 N GOUGAR ROUTE 0 0,HELENDALE, CA,92342,Mark.Parsons@rossaweb.net,,AM32-HOR-19K,Broadband Remote,0,Dealer-Generated Sale,1,12-8-1946,66,0,2,0,N
AMR-28615389,Active,4/7/2002,5/31/2004,Elite,HN7000S,Retail/others,Direct,Hughes Web Order,HNS Customers,ALISON,Krallman,2014 LAKE HOLLOW 0 0 0,LEXINGTON, MS,39095,ALISON.Krallman@aol.com,BAD,SPACEWAY3,Broadband Remote,0,National Sales,1,14-5-1985,27,4,1,1,N
AMR-28621646,Active,2/5/2002,12/27/2004,Proplus,UNK,,Indirect,TAG,HNS Customers,Kennetha,Swenson,281 N 837 RD 0 0,INDUSTRY, PA,15052,Kenneth.Swenson@rossaweb.net,GOOD,SM5-VER-15K,Broadband Remote,0,HN9000 Upgrade,2,21-2-1953,59,6,2,0,N
AMR-28625035,Active,4/2/2002,4/27/2006,Basic_Ltd,DW6000,,Indirect,AmericanSat,HNS Customers,Sean,Wade,3681 BOX RD LANE 0 0,CHEHALIS, WA,98532,Sean.Wade@gmail.com,GOOD,SM5-VER-7K,Broadband Remote,0,Retail       ,1,23-5-1938,74,6,0,,
AMR-28626164,Active,11/13/2001,5/7/2005,Basic_Ltd,UNK,Call Center,Indirect,Hughes Web Order,HNS Customers,Richard,CORDOVA,PO M-35 STREETURB. STE 0 0,SOMERSET, CA,95684,Richard.CORDOVA@hughes.net,BAD,SM5-VER-5K,Broadband Remote,0,DW7000 Upgrade,2,6-2-1954,58,5,1,0,N
AMR-28627011,Active,2/26/2002,2/25/2004,Basic,DW4000,Sales Agents,Indirect,Verisign Web Ordering,HNS Customers,Judya,HAYES  JR.,2 N 878 0 0 0,HAMILTON, MI,49419,Judy.HAYES  JR.@sipnsearch.com,GOOD,SM5-VER-5K,Broadband Remote,0,DW7000 Upgrade,2,17-3-1962,50,4,,0,N
AMR-28634371,Active,3/21/2002,3/10/2004,Elite,HN9000,,Direct,Hughes Web Order,HNS Customers,David,Gillespie,75 BETHLEHEM 79 0 RD 0,NATCHITOCHES, LA,71457,David.Gillespie@aol.com,BAD,SPACEWAY3,Spaceway,0,HN7000 Upgrade,2,27-4-1955,57,0,0,0,
AMR-28637693,Active,3/13/2002,8/16/2005,Home,UNK,Call Center,Indirect,Skylink,HNS Customers,Gregga,Wales,361 OTTS SLAYDEN RD 0 0,WAVERLY, NY,14892,Gregg.Wales@wexzone.com,GOOD,SM5-HOR-6K,Broadband Remote,0,HN7000 Upgrade,2,14-3-1952,60,0,1,0,
AMR-28641045,Active,6/4/2001,3/23/2003,,HN7000S,Web orders,Indirect,Hughes Web Order,HNS Customers,John,Evans,56 CROXTON 218 MOUNTAIN C8 0,GILLETTE, WY,82718,John.Evans@sipnsearch.com,BAD,SM6-VER-2K,Broadband Remote,0,Direct,1,10-6-1958,54,6,1,0,N
AMR-28642587,Active,1/28/2002,10/23/2004,Home,HN7000S,Call Center,Indirect,Hughes Web Order,HNS Customers,James,Koncyk,69330 VALLEY WAY RD 0 0,NEWPORT, WA,99156,James.Koncyk@hughes.net,BAD,0,Spaceway,0,DPC Classic upgrade,1,13-5-1974,38,6,1,0,N
AMR-28646647,Active,1/19/2002,9/28/2005,Basic,HN7000S,Retail/others,Indirect,Hughes Web Order,HNS Customers,Judya,Foreman,918 POINT VALLEY 1943 0 0,ETHEL, LA,70730,Judy.Foreman@hotmail.com,BAD,G17-HOR-6K,Broadband Remote,0,Dealer-Generated Sale,1,25-2-1979,33,6,0,0,N
AMR-28648862,Active,8/1/2001,9/14/2004,Elite,HN9000,,Indirect,Hughes Web Order,HNS Customers,Matthew,Darnell,3561 RIDGE RD CHURCH 0 0,WICKENBURG, AZ,85358,Matthew.Darnell@geeksquad.com,BAD,AM9-VER-2K ,Broadband Remote,0,DPC Classic upgrade,1,18-1-1959,53,0,0,0,N
AMR-28649161,Active,2/25/2002,3/30/2005,Pro,HN7000S,Sales Agents,Indirect,ACS Pre-Install,HNS Customers,Ken,Homme,60991 CALEDON RD 0 0 0,MORRILTON, AR,72110,Ken.Homme@yahoo.com,GOOD,SPACEWAY3,Broadband Remote,EXPRESS REPAIR HOME WITH TERM,Dealer-Generated Sale,2,2-11-1975,37,4,2,0,N
AMR-28652973,Active,4/17/2002,6/17/2004,Basic,HN9000,Retail/others,Indirect,ACS Pre-Install,HNS Customers,James,Vaught,12235 NE WATSON MARYS 0 0,SAINT MARIES, ID,83861,James.Vaught@wexzone.com,GOOD,SPACEWAY3,Broadband Remote,0,Direct,2,6-7-1963,49,C,,0,N
AMR-28654106,Active,10/17/2001,11/15/2003,,DW6000,Retail/others,Indirect,,HNS Customers,James,Wilson Jr.,588 TAYLOR RD 0 RD 0,CORAOPOLIS, PA,15108,James.Wilson Jr.@wexzone.com,GOOD,SM5-VER-5K,Broadband Remote,0,HN9000 Upgrade,1,5-10-1956,56,7,0,,N
AMR-28654183,Active,12/15/2001,1/21/2006,Basic_Ltd,HN7000S,Vars,Indirect,NCC,HNS Customers,Douga,Horine,5882 BOX BRANCH RDG A 0,LOVETTSVILLE, VA,20180,Doug.Horine@rossaweb.net,BAD,SPACEWAY3,Spaceway,0,Dealer-Generated Sale,2,7-4-1942,70,7,1,0,N
AMR-28656696,Active,9/28/2001,7/28/2003,,HN9000,,Indirect,TAG,HNS Customers,SCOTT,Spurgin,19100 BOX VISTA 0 0 0,NORTH BRANCH, MN,55056,SCOTT.Spurgin@compuserve.com,GOOD,G16-HOR-2K,Broadband Remote,0,HN7000 Upgrade,1,13-8-1947,65,6,0,,Y
AMR-28658319,Active,12/31/2001,6/30/2004,Basic,UNK,Web orders,Direct,Perfect 10,HNS Customers,Arthur,MCCULLAR,PO SLAVENS LN 0 0 0,LEBANON, NJ,8833,Arthur.MCCULLAR@rossaweb.net,GOOD,SM5-VER-15K,Broadband Remote,0,DPC Classic upgrade,2,6-10-1956,56,7,1,0,
AMR-28658635,Active,10/5/2001,9/28/2003,Elite,HN9000,Sales Agents,Indirect,ACS,HNS Customers,Kellya,Miller,2510 SILO CASCABEL 0 0 0,POTOMAC, MD,20854,Kelly.Miller@wexzone.com,,SPACEWAY3,Broadband Remote,0,DW6000 Upgrade,1,22-11-1977,35,6,1,0,N
AMR-28662618,Active,3/4/2002,7/14/2004,Elite,HN7000S,Web orders,Indirect,TAG,HNS Customers,Williama,FEHT,16697 GREENPEACE RD CT 0 0,DONIPHAN, NE,68832,William.FEHT@hughes.net,GOOD,AM32-HOR-19K,Spaceway,0,Direct,2,24-11-1965,47,0,1,0,
AMR-28662949,Active,10/24/2001,8/25/2003,Basic,HN7000S,Call Center,Indirect,InfoDish,HNS Customers,Earl & Bara,Lehman,11174 DUPONT RD,SHAKOPEE, MN,55379,d8854@uslink.net,BAD,AM9-VER-2K ,Broadband Remote,,DPC Classic upgrade,2,24-9-1940,72,9,,0,Y
AMR-28664390,Active,8/4/2001,8/29/2004,Proplus,HN9000,Sales Agents,Indirect,NCC,HNS Customers,Cheryl,Cooley,15353 SEAMAN GLEN DRIVE 0 0,BIGELOW, AR,72016,Cheryl.Cooley@compuserve.com,GOOD,HZN2-VER-4K,Broadband Remote,EXPRESS REPAIR HOME WITH TERM,Direct,2,3-2-1956,56,0,1,0,N
AMR-28667773,Active,8/6/2001,9/25/2003,Basic,HN7000S,,Indirect,Verisign Web Ordering,HNS Customers,Orval,Shields,4904 2-BOX 325 0 0 0,WILLCOX, AZ,85643,Orval.Shields@aol.com,GOOD,SPACEWAY3,Broadband Remote,0,DW7000 Upgrade,2,14-7-1981,31,C,0,,N
AMR-28668119,Active,10/15/2001,8/16/2005,,HN9000,Web orders,Indirect,Hughes Web Order,HNS Customers,Kevin,Swenson,100 PLEASANT RD 0 0 0,OJAI, CA,93023,Kevin.Swenson@rossaweb.net,BAD,SM5-VER-15K,Broadband Remote,0,Classic Migration,1,14-9-1979,33,6,0,0,N
AMR-28670730,Active,1/15/2002,3/30/2004,Basic,UNK,Vars,Indirect,RS&I,HNS Customers,Harry,Puckett,497 BOX STAGE AVENUE 0 0,BOYDS, MD,20841,Harry.Puckett@wexzone.com,,0,Broadband Remote,0,Dealer-Generated Sale,1,14-3-1982,30,4,0,0,
AMR-28670964,Active,3/31/2002,7/5/2005,Elite,HN9000,Sales Agents,Direct,NCC,HNS Customers,Richard,Bridge,1746 MILL ST 0 0 0,MILFORD, VA,22514,Richard.Bridge@hotmail.com,GOOD,G17-HOR-6K,Broadband Remote,0,Retail,2,5-6-1969,43,0,0,0,N
AMR-28675586,Active,6/29/2001,12/21/2004,,HN9000,,Indirect,NCC,HNS Customers,Dennis,O'neill,5274 COOK CLARK E 0 0,MOSINEE, WI,54455,Dennis.O'neill@hughes.net,,G16-VER-15K,Broadband Remote,0,DPC Classic upgrade,2,16-8-1978,34,7,1,0,N
AMR-28680043,Active,5/2/2003,8/1/2005,,HN7000S,Call Center,Indirect,Hughes Web Order,HNS Customers,Stacya,Duperron,11960 INTERNATIONAL 1050TH 0 0 0,WESTFORD, MA,1886,Stacy.Duperron@sipnsearch.com,BAD,G17-HOR-6K,Spaceway,0,Retail       ,2,6-10-1964,48,6,1,0,
AMR-28680590,Active,2/13/2002,5/5/2005,,HN7000S,Retail/others,Direct,UNKNOWN,HNS Customers,Rona,Kline,328 BOX LUIS 0 0 0,CRAIG, CO,81625,Ron.Kline@geeksquad.com,,SPACEWAY3,Broadband Remote,0,Classic Migration,,19-5-1975,37,4,1,0,
AMR-28687702,Active,2/7/2002,8/25/2004,Elite,HN7000S,Call Center,Indirect,Verisign Web Ordering,HNS Customers,Ruth,Sawyer,3531 PHOENIX 66 0 0 0,EVANSVILLE, WY,82636,Ruth.Sawyer@compuserve.com,,SM5-VER-5K,Broadband Remote,0,Direct,1,4-8-1983,29,6,0,,
AMR-28687709,Active,6/13/2001,9/22/2003,Basic_Ltd,HN7000S,Call Center,Indirect,Perfect 10,HNS Customers,Richard,Hanes,13999 HOWARD MOUNT DR 0 0,WILLITS, CA,95490,Richard.Hanes@hotmail.com,GOOD,SM5-VER-15K,Broadband Remote,0,DPC Classic upgrade,2,7-4-1990,22,0,1,1,
AMR-28692131,Active,12/21/2001,9/23/2004,Home,HN7000S,,Indirect,LiveBridge Communications LLC,HNS Customers,ROGER,JACQUES,PO PUNTA 429 ST 0 0,MOSINEE, WI,54455,ROGER.JACQUES@aol.com,,G17-HOR-6K,Broadband Remote,0,DW6000 Upgrade,1,1-7-1982,30,7,0,0,N
AMR-28695254,Active,3/4/2002,11/30/2003,Power150,HN7000S,Vars,Indirect,Perfect 10,HNS Customers,Robert,Dickson,29159 BOX CRUCES 0 0 0,SAN ANTONIO, TX,78278,Robert.Dickson@rossaweb.net,GOOD,AM9-VER-2K ,Broadband Remote,0,Retail,,6-12-1964,48,5,0,0,N
AMR-28695703,Active,2/9/2002,12/27/2004,Home,HN7000S,Retail/others,Indirect,RS&I,HNS Customers,ROBERTa,Gaines,32783 TAYLOR TERRITORY 59 0 0,MARSHALL, VA,20115,ROBERT.Gaines@sipnsearch.com,GOOD,AM6-HOR-21K,Broadband Remote,0,DPC Classic upgrade,,24-2-1957,55,2,,0,Y
AMR-28703295,Active,3/25/2002,8/22/2004,Basic_Ltd,HN7000S,Retail/others,Direct,TAG,HNS Customers,David,Lipera,9420 HIGHWAY STAGE 353 0 0,CRAWFORDVILLE, FL,32327,David.Lipera@sipnsearch.com,GOOD,0,Spaceway,0,HN7000 Upgrade,1,27-11-1958,54,7,0,0,N
AMR-28705222,Active,2/4/2002,8/23/2004,Proplus,HN7000S,Web orders,Direct,Perfect 10,HNS Customers,Bettyej.,Davis,16100 JANISH WATSON 5 9 123,JEWETT, TX,75846,Bettyej..Davis@hotmail.com,GOOD,AM6-HOR-21K,Broadband Remote,0,Dealer-Generated Sale,2,3-12-1956,56,9,1,1,
AMR-28711514,Active,2/13/2002,10/24/2005,Basic,HN7000S,Call Center,Indirect,RS&I,HNS Customers,Edmond,Blair,60 BOX 11230 RD 0 0,OAK HILL, FL,32759,Edmond.Blair@gmail.com,BAD,SPACEWAY3,Broadband Remote,0,HN7000 Upgrade,1,4-12-1979,33,0,0,0,N
AMR-28714642,Active,4/15/2002,9/8/2003,Power150,UNK,,Direct,TAG,HNS Customers,Michael,Ernest,1304 250 RD 0 212 0,O FALLON, MO,63368,Michael.Ernest@gmail.com,GOOD,0,Broadband Remote,0,Retail       ,1,21-10-1950,62,6,1,0,N
AMR-28725634,Active,1/11/2002,12/10/2004,Basic_Ltd,DW4020,Retail/others,Indirect,UNKNOWN,HNS Customers,Ken,Davis,4889 RIVER RD,METAMORA, MI,48455,kendavis@hughes.net,GOOD,G17-HOR-6K,Broadband Remote,,Retail       ,1,1-3-1972,40,5,0,,N
AMR-28726191,Active,4/19/2002,10/17/2005,Basic_Ltd,HN7000S,,Direct,Hughes Web Order,HNS Customers,Fred,Bellotti,13251 SADDLEBROOK CROSSING 0 0 0,ARP, TX,75750,Fred.Bellotti@hughes.net,BAD,SM5-HOR-14K,Broadband Remote,0,Direct,2,23-1-1969,43,7,1,1,N
AMR-28727073,Active,12/1/2001,5/10/2003,Elite,,,Indirect,AmericanSat,HNS Customers,Donald,Frieders,840 BOX BUTTERFIELD 0 0 0,LEMPSTER, NH,3605,Donald.Frieders@sipnsearch.com,GOOD,SM5-VER-5K,Broadband Remote,0,Direct,2,10-10-1953,59,0,2,0,N
AMR-28727822,Active,4/5/2002,4/24/2006,,HN7000S,Vars,Indirect,TAG,HNS Customers,Daniel,Smith,392 COUNTY YELLOW MOUNTAIN RANC 0,BELLEVUE, OH,44811,Daniel.Smith@compuserve.com,GOOD,0,Spaceway,0,HN9000 Upgrade,2,6-6-1990,22,7,0,0,N
AMR-28727866,Active,5/11/2002,1/29/2005,,HN9000,Sales Agents,Indirect,MiniDish,HNS Customers,James,Hull,407 MAGNOLIA LN 0 0 0,INDUSTRY, PA,15052,James.Hull@gmail.com,GOOD,G17-HOR-2K,Broadband Remote,0,HN7000 Upgrade,1,18-6-1990,22,0,0,,
AMR-28729452,Active,8/24/2001,2/24/2003,Basic,DW6000,Sales Agents,Indirect,,HNS Customers,Garrya,Bram,3681 BOX CR RD 0 0,WAVERLY, NY,14892,Garry.Bram@compuserve.com,GOOD,SM5-VER-5K,Broadband Remote,EXPRESS REPAIR HOME WITH TERM,DW6000 Upgrade,2,2-8-1974,38,0,0,0,N
AMR-28729928,Active,2/22/2002,8/23/2004,Basic,,,Indirect,RS&I,HNS Customers,Richard,Winston,#80 PINE 5 AVE 0 0,CORDOVA, MD,21625,Richard.Winston@wexzone.com,GOOD,SM5-VER-15K,Broadband Remote,EXPRESS REPAIR HOME W/O COMMITMENT WITH TERM,DW7000 Upgrade,1,24-12-1948,64,5,1,1,
AMR-28735966,Active,10/8/2001,11/25/2003,Basic,HN7000S,Call Center,Indirect,Hughes Web Order,HNS Customers,Craiga,Mcclendonjr.,12381 TAYLOR RD 0 C8 0,RICHMONDVILLE, NY,12149,Craig.Mcclendonjr.@wexzone.com,BAD,G17-HOR-2K,Broadband Remote,0,DPC Classic upgrade,1,26-11-1989,23,0,0,0,Y
